KEY	Bezirk	BL2014	POP1989	lat	lon
Erfurt--Apolda	Erfurt	TH	27633	51.0227878	11.5129742
Erfurt--Arenshausen	Erfurt	TH	1073	51.377583	9.9709143
Erfurt--Arnstadt	Erfurt	TH	29665	50.8349097	10.9461479
Erfurt--Behringen	Erfurt	TH	1729	51.0211849	10.5187708
Erfurt--Besenhausen	Erfurt	TH	600	51.3887688	9.9497593
Erfurt--Bischhagen	Erfurt	TH	174	51.425264	10.0918745
Erfurt--Bleicherode	Erfurt	TH	7912	51.4412755	10.5742829
Erfurt--Bockelnhagen	Erfurt	TH	484	51.5646919	10.42394
Erfurt--Buchfart	Erfurt	TH	208	50.9211949	11.3317678
Erfurt--Dankmarshausen	Erfurt	TH	1212	50.9278459	10.0145976
Erfurt--Deuna	Erfurt	TH	1495	51.3519834	10.4741673
Erfurt--Dietzenrode	Erfurt	TH	115	51.2960313	10.0139073
Erfurt--Dingelstädt	Erfurt	TH	5263	51.3157508	10.3209989
Erfurt--Döringsdorf	Erfurt	TH	170	51.2148235	10.1643177
Erfurt--Ecklingerode	Erfurt	TH	829	51.503684	10.3118389
Erfurt--Eisenach	Erfurt	TH	47027	50.9929438	10.28676112
Erfurt--Ellrich	Erfurt	TH	4028	51.5872022	10.664684
Erfurt--Erfurt	Erfurt	TH	217035	50.9778285	11.0296459
Erfurt--Friedrichroda	Erfurt	TH	5944	50.8608025	10.5634369
Erfurt--Geismar	Erfurt	TH	1151	51.2317614	10.1663185
Erfurt--Gerbershausen	Erfurt	TH	687	51.337235	9.9848021
Erfurt--Glasehausen	Erfurt	TH	170	51.4417371	10.1520321
Erfurt--Gotha	Erfurt	TH	56715	50.9462725	10.6945265
Erfurt--Gräfenroda	Erfurt	TH	4318	50.7469007	10.8080373
Erfurt--Greußen	Erfurt	TH	56715	51.2283518	10.9481696
Erfurt--Großburschla	Erfurt	TH	1349	51.1366797	10.1727878
Erfurt--Großensee	Erfurt	TH	241	50.9352634	9.9739394
Erfurt--Heiligenstadt	Erfurt	TH	16106	51.377381	10.134458
Erfurt--Ifta	Erfurt	TH	1358	51.0639639	10.1788731
Erfurt--Katharinenberg	Erfurt	TH	6520	51.1819798	10.2626693
Erfurt--Kella	Erfurt	TH	599	51.2308715	10.0792067
Erfurt--Kirchgandern	Erfurt	TH	600	51.3856912	9.960943
Erfurt--Lauchröden	Erfurt	TH	938	50.9938818	10.1568102
Erfurt--Leinefelde	Erfurt	TH	16290	51.388635	10.3242507
Erfurt--Mühlhausen	Erfurt	TH	42463	51.2094255	10.4589044
Erfurt--Nordhausen	Erfurt	TH	48089	51.504916	10.7925145
Erfurt--Ohrdruf	Erfurt	TH	6494	50.8270085	10.7319499
Erfurt--Pferdsdorf	Erfurt	TH	611	51.0233905	10.2228777
Erfurt--Rotheshütte	Erfurt	TH	4028	51.632266	10.7228673
Erfurt--Ruhla	Erfurt	TH	5606	50.8920471	10.3668167
Erfurt--Sallmannshausen	Erfurt	TH	187	51.0015664	10.105467
Erfurt--Schlotheim	Erfurt	TH	4346	51.2462351	10.6557423
Erfurt--Sömmerda	Erfurt	TH	23669	51.1620125	11.1178539
Erfurt--Sondershausen	Erfurt	TH	24258	51.3666041	10.8668419
Erfurt--Stadtilm	Erfurt	TH	5543	50.7740778	11.0805466
Erfurt--Teistungen	Erfurt	TH	1529	51.4707625	10.2626159
Erfurt--Teistungen/Worbis	Erfurt	TH	1529	51.4776189	10.2597446
Erfurt--Treffurt	Erfurt	TH	2973	51.1376968	10.2348109
Erfurt--Waltershausen	Erfurt	TH	13973	50.9013145	10.5653062
Erfurt--Weberstedt	Erfurt	TH	642	51.109112	10.5117898
Erfurt--Weimar	Erfurt	TH	61583	50.980285	11.3290835
Erfurt--Worbis	Erfurt	TH	75521	51.4207029	10.3632345
Erfurt--Zwinge	Erfurt	TH	454	51.5521123	10.3801664
Frankfurt/Oder--Angermünde	Frankfurt/Oder	BB	11423	53.017276	13.9981503
Frankfurt/Oder--Beeskow	Frankfurt/Oder	BB	9712	52.1721569	14.2471058
Frankfurt/Oder--Bernau	Frankfurt/Oder	BB	19574	52.6829905	13.5879905
Frankfurt/Oder--Eberswalde	Frankfurt/Oder	BB	54332	52.834672	13.7969198
Frankfurt/Oder--Eisenhüttenstadt	Frankfurt/Oder	BB	52393	52.1448863	14.6294413
Frankfurt/Oder--Erkner	Frankfurt/Oder	BB	12127	52.4259804	13.7542811
Frankfurt/Oder--Frankfurt	Frankfurt/Oder	BB	87126	52.32518245	14.49277685
Frankfurt/Oder--Fürstenwalde	Frankfurt/Oder	BB	35658	52.3667	14.0667
Frankfurt/Oder--Joachimsthal	Frankfurt/Oder	BB	3087	52.9770643	13.7453282
Frankfurt/Oder--Neuzelle	Frankfurt/Oder	BB	2006	52.0908428	14.6493003
Frankfurt/Oder--Passow	Frankfurt/Oder	BB	1227	53.1413859	14.1124941
Frankfurt/Oder--Röntgental	Frankfurt/Oder	BB	7653	52.648839	13.5137184
Frankfurt/Oder--Schwedt	Frankfurt/Oder	BB	52569	53.0586366	14.2840858
Frankfurt/Oder--Seefeld	Frankfurt/Oder	BB	6507	52.621581	13.6789854
Frankfurt/Oder--Seelow	Frankfurt/Oder	BB	5487	52.5318238	14.380704
Frankfurt/Oder--Storkow	Frankfurt/Oder	BB	6383	52.253298	13.9305192
Frankfurt/Oder--Strausberg	Frankfurt/Oder	BB	28533	52.5808076	13.8821185
Frankfurt/Oder--Zepernick	Frankfurt/Oder	BB	7653	52.6509002	13.540728
Gera--Blankenstein	Gera	TH	1156	50.4019335	11.6959966
Gera--Camburg	Gera	TH	3112	51.0536711	11.7108341
Gera--Crossen	Gera	TH	2383	50.9758968	11.9760611
Gera--Eisenberg	Gera	TH	12840	50.96693445	11.85850819
Gera--Elsterberg	Gera	TH	4766	50.7194376	11.4433883
Gera--Gera	Gera	TH	132257	50.88794445	12.08094538
Gera--Greiz	Gera	TH	33441	50.6562556	12.2008694
Gera--Hermsdorf	Gera	TH	178	50.8979723	11.8566381
Gera--Jena	Gera	TH	105825	50.9331401	11.5833091
Gera--Kahla	Gera	TH	9143	50.8023731	11.5877722
Gera--Kaulsdorf	Gera	TH	2270	50.59520295	11.57939714
Gera--Knau	Gera	TH	853	50.6519929	11.7213744
Gera--Lehesten	Gera	TH	1677	50.4754058	11.4491557
Gera--Leutenberg	Gera	TH	1861	50.5636956	11.45571
Gera--Lichtentanne	Gera	TH	352	50.5160802	11.4537089
Gera--Lobenstein	Gera	TH	6746	50.4424064	11.652167
Gera--Mühltroff	Gera	TH	1754	50.5345562	11.9142039
Gera--Münchenbernsdorf	Gera	TH	3939	50.8206311	11.9330815
Gera--Neustadt-Orla	Gera	TH	10200	50.4285336	11.7397093
Gera--Orlamünde	Gera	TH	1520	50.7752667	11.5200275
Gera--Pößneck	Gera	TH	17410	50.694735	11.5953247
Gera--Probstzella	Gera	TH	2087	50.5311024	11.3796716
Gera--Rothenstein	Gera	TH	997	50.8503265	11.6057579
Gera--Rudolstadt	Gera	TH	31776	50.7206063	11.3401985
Gera--Saalburg	Gera	TH	1433	50.5024334	11.7326745
Gera--Saalfeld	Gera	TH	34037	50.6481277	11.3616652
Gera--Schleiz	Gera	TH	7668	50.5774374	11.80891
Gera--Schlöben	Gera	TH	333	50.8943178	11.6913682
Gera--Schwarzburg	Gera	TH	847	50.6420752	11.1956622
Gera--Stadtroda	Gera	TH	6627	50.8584623	11.7296095
Gera--Teichwolframsdorf	Gera	TH	1997	50.7258231	12.23737427
Gera--Titschendorf	Gera	TH	237	50.39736105	11.53309002
Gera--Triptis	Gera	TH	4789	50.7353974	11.8633794
Gera--Tröbnitz	Gera	TH	467	50.8377421	11.7260322
Gera--Uhlstädt	Gera	TH	1676	50.7421866	11.4664349
Gera--Unterwellenborn	Gera	TH	2293	50.6585941	11.442003
Gera--Weida	Gera	TH	10154	50.7784921	12.060131
Gera--Wolfersdorf	Gera	TH	609	50.7825003	12.1734108
Gera--Zeulenroda	Gera	TH	14425	50.6498043	11.979914
Halle--Alexisbad	Halle	ST	5866	51.6499442	11.1165337
Halle--Alsleben	Halle	ST	2911	51.7015251	11.6783936
Halle--Artern	Halle	ST	7036	51.4377117	11.3054155
Halle--Aschersleben	Halle	ST	33891	51.7559549	11.462134
Halle--Ballenstedt	Halle	ST	8420	51.722527	11.2290268
Halle--Bernburg	Halle	ST	41019	51.78287885	11.76388277
Halle--Bitterfeld	Halle	ST	20017	51.6239124	12.3301466
Halle--Coswig	Halle	ST	10072	51.8803541	12.458638
Halle--Dessau	Halle	ST	101262	51.8311104	12.2429261
Halle--Eisleben	Halle	ST	26530	51.507348	11.55201461
Halle--Ermlitz	Halle	ST	563	51.3927996	12.1595749
Halle--Gräfenhainichen	Halle	ST	10256	51.7309112	12.4588675
Halle--Halle	Halle	ST	230728	51.4825041	11.9705452
Halle--Halle-Neustadt	Halle	ST	90956	51.4801475	11.9206532
Halle--Harzgerode	Halle	ST	5866	51.6380553	11.1469136
Halle--Hettstedt	Halle	ST	21405	51.6500047	11.4999986
Halle--Köthen	Halle	ST	33970	51.7500048	11.9666985
Halle--Merseburg	Halle	ST	44367	51.3564413	11.996148
Halle--Naumburg	Halle	ST	30706	51.1522367	11.8102083
Halle--Nebra	Halle	ST	3399	51.2873083	11.5787877
Halle--Nienburg	Halle	ST	7530	51.8371558	11.7675525
Halle--Quedlinburg	Halle	ST	29096	51.7833001	11.1499999
Halle--Querfurt	Halle	ST	9795	51.3785275	11.5974443
Halle--Roßlau	Halle	ST	15094	51.8882826	12.2434581
Halle--Sangerhausen	Halle	ST	33757	51.4729797	11.2981851
Halle--Thale	Halle	ST	17307	51.7527606	11.037722
Halle--Weißenfels	Halle	ST	38082	51.2	11.966667
Halle--Wittenberg	Halle	ST	51757	51.91552465	12.64272815
Halle--Wolfen	Halle	ST	45652	51.6612289	12.2728957
Halle--Zeitz	Halle	ST	41467	51.0481032	12.1323406
Karl-Marx-Stadt--Adorf	Karl-Marx-Stadt	SN	6742	50.3208742	12.2549052
Karl-Marx-Stadt--Annaberg	Karl-Marx-Stadt	SN	25404	50.5805503	13.0016874
Karl-Marx-Stadt--Aue	Karl-Marx-Stadt	SN	25435	50.5860269	12.6993046
Karl-Marx-Stadt--Auerbach	Karl-Marx-Stadt	SN	22148	50.5086605	12.3996273
Karl-Marx-Stadt--Bärenstein	Karl-Marx-Stadt	SN	3076	50.498968	13.0282091
Karl-Marx-Stadt--Bernsbach	Karl-Marx-Stadt	SN	4360	50.5843221	12.75864638
Karl-Marx-Stadt--Blauenthal	Karl-Marx-Stadt	SN	316	50.51314325	12.62515686
Karl-Marx-Stadt--Brand-Erbisdorf	Karl-Marx-Stadt	SN	9887	50.8705512	13.3247933
Karl-Marx-Stadt--Burgstädt	Karl-Marx-Stadt	SN	12968	50.9199634	12.8057367
Karl-Marx-Stadt--Burkhardtsdorf	Karl-Marx-Stadt	SN	3995	50.734722	12.921944
Karl-Marx-Stadt--Crimmitschau	Karl-Marx-Stadt	SN	23455	50.8153837	12.3890204
Karl-Marx-Stadt--Crottendorf	Karl-Marx-Stadt	SN	4707	50.5045808	12.9232251
Karl-Marx-Stadt--Deutscheinsiedel	Karl-Marx-Stadt	SN	494	50.6308003	13.4938079
Karl-Marx-Stadt--Dorfchemnitz	Karl-Marx-Stadt	SN	1575	50.7552487	13.41706532
Karl-Marx-Stadt--Ehrenfriedersdorf	Karl-Marx-Stadt	SN	6381	50.6442951	12.9675018
Karl-Marx-Stadt--Eibenstock	Karl-Marx-Stadt	SN	6439	50.4721939	12.58329447
Karl-Marx-Stadt--Eppendorf	Karl-Marx-Stadt	SN	3910	50.7988796	13.2305784
Karl-Marx-Stadt--Erlbach	Karl-Marx-Stadt	SN	1865	51.0266185	12.8192537
Karl-Marx-Stadt--Falkenstein	Karl-Marx-Stadt	SN	10335	50.4773298	12.3691588
Karl-Marx-Stadt--Flöha	Karl-Marx-Stadt	SN	13216	50.8503529	13.0772325
Karl-Marx-Stadt--Frankenberg	Karl-Marx-Stadt	SN	15023	50.9187702	13.08468224
Karl-Marx-Stadt--Frauenstein	Karl-Marx-Stadt	SN	1392	50.8011253	13.5364113
Karl-Marx-Stadt--Freiberg	Karl-Marx-Stadt	SN	46840	50.9169415	13.3428889
Karl-Marx-Stadt--Gehringswalde	Karl-Marx-Stadt	SN	902	51.0760493	12.9048523
Karl-Marx-Stadt--Gelenau	Karl-Marx-Stadt	SN	5844	51.2548986	14.0713547
Karl-Marx-Stadt--Geyer	Karl-Marx-Stadt	SN	4718	50.623596	12.9249831
Karl-Marx-Stadt--Glauchau	Karl-Marx-Stadt	SN	26566	50.8199031	12.5397873
Karl-Marx-Stadt--Hainichen	Karl-Marx-Stadt	SN	8871	50.9725862	13.1229747
Karl-Marx-Stadt--Hartenstein	Karl-Marx-Stadt	SN	2782	50.6618562	12.6713426
Karl-Marx-Stadt--Hartmannsdorf	Karl-Marx-Stadt	SN	4965	50.887069	12.8007489
