KEY	Bezirk	BL2014	POP1989	lat	lon
Magdeburg--Lüttgenrode	Magdeburg	ST	784	51.967222	10.666389
Magdeburg--Magdeburg	Magdeburg	ST	288355	52.1259262	11.62887239
Magdeburg--Oebisfelde	Magdeburg	ST	5400	52.4327343	10.9915396
Magdeburg--Oschersleben	Magdeburg	ST	17223	52.0266526	11.227781
Magdeburg--Osterburg	Magdeburg	ST	9500	52.7899044	11.7526038
Magdeburg--Osterwieck	Magdeburg	ST	4627	51.9689672	10.7135463
Magdeburg--Plötzky	Magdeburg	ST	951	52.04353675	11.8008942
Magdeburg--Salzwedel	Magdeburg	ST	23547	52.8528456	11.1539699
Magdeburg--Schönebeck	Magdeburg	ST	44660	52.0206182	11.738392
Magdeburg--Seehausen	Magdeburg	ST	5072	52.8888609	11.7519908
Magdeburg--Staßfurt	Magdeburg	ST	26466	51.8514515	11.5929455
Magdeburg--Stendal	Magdeburg	ST	50717	52.6051341	11.8593217
Magdeburg--Tangerhütte	Magdeburg	ST	7944	52.4342333	11.8060753
Magdeburg--Tangermünde	Magdeburg	ST	11944	52.5431104	11.9722524
Magdeburg--Ummendorf	Magdeburg	ST	1093	52.1571618	11.1802645
Magdeburg--Wanzleben	Magdeburg	ST	6269	52.0594729	11.4407044
Magdeburg--Weferlingen	Magdeburg	ST	2263	52.3144558	11.0549712
Magdeburg--Wernigerode	Magdeburg	ST	36778	51.8344172	10.7862526
Magdeburg--Zerbst	Magdeburg	ST	18659	51.9640308	12.0857291
Magdeburg--Zielitz	Magdeburg	ST	2917	52.2884504	11.6752462
Neubrandenburg--Altentreptow	Neubrandenburg	MV	8001	53.6929029	13.2512464
Neubrandenburg--Anklam	Neubrandenburg	MV	19386	53.8560526	13.688091
Neubrandenburg--Dargun	Neubrandenburg	MV	4237	53.9	12.85
Neubrandenburg--Demmin	Neubrandenburg	MV	16429	53.9070035	13.0327807
Neubrandenburg--Feldberg	Neubrandenburg	MV	2944	53.3290239	13.434607
Neubrandenburg--Friedland	Neubrandenburg	MV	8365	53.6716022	13.5487647
Neubrandenburg--Gnoien	Neubrandenburg	MV	4500	53.9703915	12.7054032
Neubrandenburg--Jarmen	Neubrandenburg	MV	3592	53.9221026	13.337442
Neubrandenburg--Loitz	Neubrandenburg	MV	4413	53.9691311	13.1285559
Neubrandenburg--Lychen	Neubrandenburg	BB	4418	53.2083284	13.3164795
Neubrandenburg--Malchin	Neubrandenburg	MV	10731	53.7382631	12.7644198
Neubrandenburg--Malchow	Neubrandenburg	MV	8386	53.4775641	12.4245172
Neubrandenburg--Milmersdorf	Neubrandenburg	MV	2150	53.1086735	13.6406392
Neubrandenburg--Neubrandenburg	Neubrandenburg	MV	90953	53.5574458	13.2602781
Neubrandenburg--Neukalen	Neubrandenburg	MV	1805	53.8228766	12.7918145
Neubrandenburg--Neustrelitz	Neubrandenburg	MV	26736	53.3617163	13.0630004
Neubrandenburg--Pasewalk	Neubrandenburg	MV	15768	53.5053677	13.9889049
Neubrandenburg--Penzlin	Neubrandenburg	MV	4237	53.5055706	13.0843261
Neubrandenburg--Potzlow	Neubrandenburg	BB	1928	53.2167741	13.8401665
Neubrandenburg--Prenzlau	Neubrandenburg	MV	23726	53.3128952	13.8607145
Neubrandenburg--Röbel	Neubrandenburg	MV	6942	53.3764368	12.6058751
Neubrandenburg--Schmölln	Neubrandenburg	BB	1396	53.299106	14.0996213
Neubrandenburg--Seltz	Neubrandenburg	MV	949	53.7583868	13.2136901
Neubrandenburg--Stavenhagen	Neubrandenburg	MV	9031	53.7045506	12.91210004
Neubrandenburg--Strasburg	Neubrandenburg	MV	8000	53.5084448	13.7434101
Neubrandenburg--Templin	Neubrandenburg	MV	14464	53.2086834	13.3034917
Neubrandenburg--Teschendorf	Neubrandenburg	MV	320	54.0629283	12.2871396
Neubrandenburg--Teterow	Neubrandenburg	MV	11590	53.7709505	12.5753569
Neubrandenburg--Torgelow	Neubrandenburg	MV	13500	53.6304232	14.0113284
Neubrandenburg--Tutow	Neubrandenburg	MV	1414	53.9170765	13.2424282
Neubrandenburg--Ueckermünde	Neubrandenburg	MV	11993	53.7371069	14.0458887
Neubrandenburg--Waren-Müritz	Neubrandenburg	MV	24532	53.5156249	12.6850606
Neubrandenburg--Woldegk	Neubrandenburg	MV	3593	53.4593376	13.5833687
Potsdam--Beelitz	Potsdam	BB	5923	52.2363582	12.9700041
Potsdam--Brandenburg	Potsdam	BB	93441	52.8455492	13.2461296
Potsdam--Falkensee	Potsdam	BB	22307	52.5651782	13.0961041
Potsdam--Gransee	Potsdam	BB	5229	53.0072783	13.1588685
Potsdam--Hennigsdorf	Potsdam	BB	25306	52.6444334	13.194994
Potsdam--Hohen-Neuendorf	Potsdam	BB	8800	52.6732755	13.2807255
Potsdam--Jüterbog	Potsdam	BB	12452	51.9969761	13.0820695
Potsdam--Ketzin	Potsdam	BB	4201	52.4769264	12.8443972
Potsdam--Königs-Wusterhausen	Potsdam	BB	18405	52.2994511	13.6244389
Potsdam--Kremmen	Potsdam	BB	3300	52.7604941	13.0294822
Potsdam--Kyritz	Potsdam	BB	10077	52.9430648	12.3966896
Potsdam--Lindow	Potsdam	BB	2585	52.10829205	14.31762041
Potsdam--Luckenwalde	Potsdam	BB	26552	52.0897398	13.162872
Potsdam--Mühlenbeck	Potsdam	BB	2283	52.6627836	13.3792639
Potsdam--Nauen	Potsdam	BB	11215	52.6061065	12.8772599
Potsdam--Neuruppin	Potsdam	BB	27053	52.9243859	12.8092919
Potsdam--Neustadt/Dosse	Potsdam	BB	4029	52.8550517	12.440522
Potsdam--Oranienburg	Potsdam	BB	28978	52.7529379	13.2457591
Potsdam--Petkus	Potsdam	BB	780	51.9891599	13.3587088
Potsdam--Plessow	Potsdam	BB	17957	52.3850794	12.8752947
Potsdam--Potsdam	Potsdam	BB	141430	52.4009818	13.0622213
Potsdam--Pritzwalk	Potsdam	BB	12306	53.1492657	12.1762256
Potsdam--Rathenow	Potsdam	BB	30935	52.6075	12.3325
Potsdam--Reinsdorf	Potsdam	BB	300	51.9065292	13.2223054
Potsdam--Rheinsberg	Potsdam	BB	5000	53.0983176	12.8910116
Potsdam--Sachsenhausen	Potsdam	BB	2735	52.7798794	13.2416656
Potsdam--Schöneiche	Potsdam	BB	8199	52.21485565	13.51216501
Potsdam--Werder	Potsdam	BB	17957	52.5210479	13.9429985
Potsdam--Wittstock	Potsdam	BB	14408	53.3725042	13.6942617
Potsdam--Zehdenick	Potsdam	BB	11635	52.9794838	13.3348959
Potsdam--Zossen	Potsdam	BB	6067	52.2159073	13.4488958
Rostock--Bansin	Rostock	MV	2878	53.9690358	14.1391435
Rostock--Barth	Rostock	MV	8583	54.3690547	12.7258585
Rostock--Bergen	Rostock	MV	19540	54.41359285	13.42701275
Rostock--Binz	Rostock	MV	6842	54.42408755	13.58240447
Rostock--Gehlsdorf	Rostock	MV	252956	54.1094525	12.11164133
Rostock--Graal-Müritz	Rostock	MV	4064	54.2578278	12.25797221
Rostock--Greifswald	Rostock	MV	68270	54.095791	13.3815238
Rostock--Grevesmühlen	Rostock	MV	11603	53.8644705	11.1898839
Rostock--Grimmen	Rostock	MV	14425	54.1128666	13.0442375
Rostock--Groß-Kordshagen	Rostock	MV	586	54.3326813	12.8409689
Rostock--Heringsdorf	Rostock	MV	3991	53.9537355	14.1288326
Rostock--Herrnburg	Rostock	MV	1658	53.8386374	10.7593169
Rostock--Herrnburg-Eichholz	Rostock	MV	1658	53.837693	10.7600345
Rostock--Kavelsdorf	Rostock	MV	324	54.138148	12.7040893
Rostock--Kröpelin	Rostock	MV	4520	54.0720121	11.7936085
Rostock--Kühlungsborn	Rostock	MV	7871	54.135532	11.75440635
Rostock--Laage	Rostock	MV	6925	53.9259627	12.3505849
Rostock--Prerow	Rostock	MV	1883	54.4411285	12.58977423
Rostock--Ribnitz-Damgarten	Rostock	MV	17427	54.2433326	12.4319733
Rostock--Rostock	Rostock	MV	252956	54.14736345	12.1090156
Rostock--Saßnitz	Rostock	MV	13572	54.5166747	13.6440596
Rostock--Schönberg	Rostock	MV	4650	53.8503152	10.9333151
Rostock--Stralsund	Rostock	MV	74566	54.3159851	13.0904622
Rostock--Tessin	Rostock	MV	4029	54.0263099	12.4684089
Rostock--Warnemünde	Rostock	MV	252956	54.1779039	12.0812875
Rostock--Wismar	Rostock	MV	57173	53.8909832	11.4647932
Rostock--Wolgast	Rostock	MV	17449	54.0536473	13.7757809
Rostock--Zinnowitz	Rostock	MV	4454	54.07267855	13.90647174
Schwerin--Berge	Schwerin	BB	1090	53.247041	11.85253945
Schwerin--Bitter	Schwerin	MV	929	53.1693332	11.03251561
Schwerin--Boitzenburg	Schwerin	MV	11950	53.2633401	13.6057588
Schwerin--Bützow	Schwerin	MV	10480	53.8500047	11.9832952
Schwerin--Crivitz	Schwerin	MV	4543	53.5781613	11.6470654
Schwerin--Gadebusch	Schwerin	MV	6871	53.70187	11.1177362
Schwerin--Goldberg	Schwerin	MV	3819	53.5843957	12.0846508
Schwerin--Güstrow	Schwerin	MV	38527	53.7936523	12.1759661
Schwerin--Hagenow	Schwerin	MV	14260	53.4305796	11.1904828
Schwerin--Karstädt	Schwerin	MV	696	53.1577074	11.73598003
Schwerin--Kassow	Schwerin	MV	325	53.8788518	12.0733487
Schwerin--Kronskamp	Schwerin	MV	6320	53.4020906	11.5864067
Schwerin--Lübz	Schwerin	MV	8073	53.4620444	12.0287906
Schwerin--Ludwigslust	Schwerin	MV	13176	53.3300229	11.4993644
Schwerin--Parchim	Schwerin	MV	23466	53.4258455	11.8475244
Schwerin--Perleberg	Schwerin	MV	14076	53.0762716	11.8627933
Schwerin--Schwaan	Schwerin	MV	5571	53.9400696	12.1071145
Schwerin--Schwerin	Schwerin	MV	129492	53.6288297	11.4148038
Schwerin--Sternberg	Schwerin	MV	5244	53.7114161	11.8285711
Schwerin--Utecht	Schwerin	MV	157	53.7686587	10.7697865
Schwerin--Wittenberge	Schwerin	MV	29527	52.9983723	11.7507204
Schwerin--Wittenburg	Schwerin	MV	5676	53.505962	11.0847826
Suhl--Almerswind	Suhl	TH	321	50.3697477	11.0095664
Suhl--Andenhausen	Suhl	TH	270	50.6630095	10.06900017
Suhl--Breitungen	Suhl	TH	5968	50.7581715	10.3336776
Suhl--Brotterode	Suhl	TH	3673	50.82313	10.44618693
Suhl--Buttlar	Suhl	TH	701	50.7556746	9.9539282
Suhl--Dermbach	Suhl	TH	3526	50.7166876	10.1174852
Suhl--Dorndorf	Suhl	TH	2442	51.0072858	11.6791235
Suhl--Eisfeld	Suhl	TH	4926	50.4269984	10.908994
Suhl--Empfertshausen	Suhl	TH	683	50.6653716	10.0996314
Suhl--Gehlberg	Suhl	TH	821	50.6789817	10.7899171
Suhl--Geisa	Suhl	TH	2134	50.7203547	9.950591465
Suhl--Grimmenthal	Suhl	TH	100	50.5327711	10.4506681
Suhl--Heinersdorf	Suhl	TH	455	50.4729636	11.57222916
Suhl--Heldburg	Suhl	TH	1210	50.2804191	10.7258995
Suhl--Hildburghausen	Suhl	TH	11650	50.4266785	10.7296992
Suhl--Ilmenau	Suhl	TH	29293	50.6867695	10.9142385
Suhl--Lauscha	Suhl	TH	3941	50.4750346	11.1610862
Suhl--Lindenau	Suhl	TH	513	50.7088337	10.1389621
Suhl--Meiningen	Suhl	TH	25474	50.5678218	10.4157535
Suhl--Motzlar	Suhl	TH	367	50.6789806	9.965593
Suhl--Mupperg	Suhl	TH	832	50.2930393	11.1508308
Suhl--Neuenbau	Suhl	TH	457	50.4417505	11.2421037
Suhl--Neuhaus	Suhl	TH	7845	50.509167	11.138333
Suhl--Römhild	Suhl	TH	2118	50.3959019	10.5393354
Suhl--Schleusingen	Suhl	TH	5428	50.5097543	10.7527178
Suhl--Schmalkalden	Suhl	TH	17410	50.722024	10.4514289
Suhl--Schmiedefeld	Suhl	TH	1534	50.535	11.216667
Suhl--Schweina	Suhl	TH	3873	50.8253937	10.3401808
Suhl--Sonneberg	Suhl	TH	27111	50.3575412	11.1691714
Suhl--Stadtlengsfeld	Suhl	TH	2800	50.783056	10.133056
Suhl--Steinach	Suhl	TH	5873	50.431944	11.156944
Suhl--Steinbach-Hallenberg	Suhl	TH	6467	50.7006077	10.5674742
Suhl--Suhl	Suhl	TH	56125	50.61377595	10.66868491
Suhl--Tambach-Dietharz	Suhl	TH	5037	50.7944768	10.6168081
Suhl--Tiefenort	Suhl	TH	3782	50.8399528	10.1671335
Suhl--Trusetal	Suhl	TH	4225	50.7846523	10.4068578
Suhl--Urnshausen	Suhl	TH	862	50.7363024	10.1745102
Suhl--Wasungen	Suhl	TH	4215	50.6642615	10.367141
Suhl--Zella-Mehlis	Suhl	TH	14365	50.6571969	10.6748522
